ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
118,248,56101,0,0.015859039851743327,0.0053350245125623206,0.01604370027780533,0.0,0.0
119,248,56351,0,0.01801151961609304,0.006059747172325695,0.019499115645885468,0.0,0.0
120,248,56601,0,0.020477384963212886,0.0068890063813605885,0.03092048689723015,0.0,0.0
121,248,56851,0,0.014363655783376051,0.004832065486557587,0.01839769259095192,0.0,0.0
122,248,57101,0,0.014079906259751786,0.004736411436345905,0.016458524391055107,0.0,0.0
123,248,57351,0,0.015379427247034026,0.005173025902143807,0.02242472395300865,0.0,0.0
124,248,57601,0,0.018290329356626462,0.006151794600819196,0.023214759305119514,0.0,0.0
125,248,57851,0,0.02088684656283423,0.007024857875113676,0.023362863808870316,0.0,0.0
126,248,58101,0,0.015437976550554313,0.005193215503823012,0.020919324830174446,0.0,0.0
127,248,58351,0,0.017914181765592122,0.006025548864272423,0.020217163488268852,0.0,0.0
128,248,58601,0,0.16103142359032874,0.05433657808152343,0.22346602380275726,0.0,0.0
129,248,58851,0,0.2140765302806903,0.07231986756655275,0.38972562551498413,0.0,0.0
130,514,59367,0,4.04094142459415,0.6662550707060503,7.037939548492432,0.0,0.0
131,460,59829,0,14.585771822453907,3.8533493109259997,16.665983200073242,0.0,0.0
132,588,60419,0,51.81927835124503,8.327427815855797,23.206592559814453,0.0,0.0
133,422,60843,0,3.2945324807972947,0.6949455214270404,5.742977142333984,0.0,0.0
134,248,61093,0,0.014861312700918916,0.0049969171412803624,0.017953772097826004,0.0,0.0
135,248,61343,0,0.016846012086399607,0.005663833384460304,0.01866127736866474,0.0,0.0
136,248,61593,0,0.02013557808620846,0.006769558742352303,0.025677772238850594,0.0,0.0
137,248,61843,0,0.01515329091623541,0.005094159212075605,0.021846583113074303,0.0,0.0
138,248,62093,0,0.01650571997429857,0.005549521303515987,0.019412659108638763,0.0,0.0
139,248,62343,0,0.021289112579225646,0.007158307670901957,0.026331357657909393,0.0,0.0
140,248,62593,0,0.020471175245635184,0.006880961368052897,0.022915706038475037,0.0,0.0
141,248,62843,0,0.06326992393324149,0.021286920308592663,0.8042212724685669,0.0,0.0
142,298,63143,0,0.9170229089720302,0.26324592452576767,2.58482027053833,0.0,0.0
143,248,63393,0,0.01796601010320854,0.006041443872339685,0.022962098941206932,0.0,0.0
144,248,63643,0,0.013865846139270223,0.004662904193889605,0.01789323054254055,0.0,0.0
145,248,63893,0,0.015863748323420378,0.005333707968020462,0.019725056365132332,0.0,0.0
146,248,64143,0,0.01624203018874515,0.005461885769510709,0.017577992752194405,0.0,0.0
147,248,64393,0,0.016011909382723618,0.005385302756035197,0.020119696855545044,0.0,0.0
148,248,64643,0,0.0149247655221448,0.005018532327730716,0.027719490230083466,0.0,0.0
149,248,64893,0,0.01612986950165868,0.005422244492599988,0.01956506259739399,0.0,0.0
150,248,65143,0,0.016924029556951402,0.00568891172893458,0.019532471895217896,0.0,0.0
151,248,65393,0,0.0195630091938131,0.0065757422458010565,0.02614350989460945,0.0,0.0
152,248,65643,0,0.014456012264575014,0.004860736330703085,0.01616615056991577,0.0,0.0
153,248,65893,0,0.016714752918906124,0.005622008196540617,0.018509352579712868,0.0,0.0
154,248,66143,0,0.015597899567066954,0.005246302777278845,0.021915486082434654,0.0,0.0
155,248,66393,0,0.01649618205576868,0.005549203453659673,0.018697645515203476,0.0,0.0
156,248,66643,0,0.019023583697125118,0.006398205726063386,0.022119879722595215,0.0,0.0
157,248,66893,0,0.016627042344483145,0.005591949510773937,0.021588299423456192,0.0,0.0
158,248,67143,0,0.01739456073550969,0.005849385336689245,0.021012449637055397,0.0,0.0
159,248,67393,0,0.015270571493209992,0.005135155866986268,0.01727805845439434,0.0,0.0
160,248,67643,0,0.01813017139165582,0.006095963555356233,0.021572299301624298,0.0,0.0
161,248,67893,0,0.017235845452226863,0.005795596615620701,0.018175160512328148,0.0,0.0
162,248,68143,0,0.01580914334465514,0.005316199603135652,0.017375042662024498,0.0,0.0
163,248,68393,0,0.015853779252394614,0.0053313865842468545,0.01793932355940342,0.0,0.0
164,363,68758,0,1.2659316101594698,0.3059523464626307,3.4259703159332275,0.0,0.0
165,248,69008,0,0.01859185984516874,0.006247814820756415,0.020182495936751366,0.0,0.0
166,248,69258,0,0.017426281869842353,0.0058601708262886534,0.022231413051486015,0.0,0.0
167,248,69508,0,0.01625921801790469,0.005469537835573823,0.021421249955892563,0.0,0.0
168,248,69758,0,0.015329720522462882,0.005156327413627174,0.019097065553069115,0.0,0.0
169,780,70540,0,4.54374872280434,0.5331147009806931,6.193211555480957,0.0,0.0
170,301,70843,0,0.23602965567799747,0.06579083627247899,1.0236461162567139,0.0,0.0
171,374,71219,0,0.24555549166516008,0.05505602167418657,2.06805419921875,0.0,0.0
172,282,71503,0,0.1946904558869548,0.057784685967669135,2.20855712890625,0.0,0.0
173,286,71791,0,0.24545275326870836,0.07195368945349083,2.18184757232666,0.0,0.0
174,283,72076,0,0.250334097890136,0.07401317589942616,2.325432300567627,0.0,0.0
175,284,72362,0,0.2089592991537164,0.06154332818143405,2.450239896774292,0.0,0.0
176,284,72648,0,0.22049143490026582,0.06495909534312656,2.091491222381592,0.0,0.0
177,285,72935,0,0.2745151521750652,0.0805972677986638,2.43833589553833,0.0,0.0
178,283,73220,0,0.149490137408682,0.04414611310487938,2.009505271911621,0.0,0.0
179,293,73515,0,0.19122665974797118,0.05460318756359709,1.8393765687942505,0.0,0.0
180,290,73807,0,0.14096920751246822,0.0406568561379039,1.7796438932418823,0.0,0.0
181,338,74147,0,0.1498822664585842,0.03706633988487803,1.3341532945632935,0.0,0.0
182,248,74397,0,0.005668563809682596,0.0019070094918025725,0.0060587539337575436,0.0,0.0
183,248,74647,0,0.004399026052510787,0.001480110944025763,0.003951433580368757,0.0,0.0
184,248,74897,0,0.0044367297135270295,0.0014928111420651417,0.005326991900801659,0.0,0.0
185,248,75147,0,0.004611498181849385,0.001551449826600278,0.004065835382789373,0.0,0.0
186,248,75397,0,0.005090629230174888,0.0017126694058993786,0.006597581319510937,0.0,0.0
187,248,75647,0,0.005611428344629079,0.0018874713382355103,0.006100012455135584,0.0,0.0
188,248,75897,0,0.006194297843290593,0.002083172009787954,0.006478975526988506,0.0,0.0
189,248,76147,0,0.006498122798493022,0.002185696640862584,0.0074869124218821526,0.0,0.0
190,248,76397,0,0.007353581702995026,0.0024733249966013846,0.007511921692639589,0.0,0.0
191,248,76647,0,0.007172534237768823,0.0024121491184022517,0.006700570695102215,0.0,0.0
192,248,76897,0,0.006877556081878151,0.002313915822308064,0.0062302518635988235,0.0,0.0
193,536,77435,0,58.001994717732586,10.164747866342637,30.664281845092773,0.0,0.0
194,525,77962,0,21.06162689882361,4.29911029068889,18.792404174804688,0.0,0.0
195,107,78071,0,8.277997165710767,8.34568193184634,17.912084579467773,0.0,0.0
196,111,78184,0,10.267653597090886,10.466495202671787,20.953710556030273,0.0,0.0
197,394,78580,0,1.2485482576095688,0.2699249767506883,2.2979161739349365,0.0,0.0
198,248,78830,0,0.234443910624009,0.07888949301911541,0.6901766657829285,0.0,0.0
199,370,79202,0,10.222526479340116,2.438322428999645,16.78166961669922,0.0,0.0
200,248,79452,0,0.005987933287322601,0.0020129979251167596,0.007107971701771021,0.0,0.0
201,248,79702,0,0.006643650543590005,0.00223255444005542,0.007332026492804289,0.0,0.0
