ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0,LapNo_1
366,2801,677188,0,1683.8147878773748,51.103423774031434,73.4145278930664,0.0,114.628,113.667
367,2807,679997,0,1681.0088272031721,50.99214194725209,73.7038345336914,0.0,113.667,113.912
368,2823,682822,0,1687.540408437207,50.956727833598066,73.58568572998047,0.0,113.912,114.717
369,2803,685627,0,1684.0259745039143,51.06733307975266,73.91091918945312,0.0,114.717,113.989
370,2831,688460,0,1688.743712707981,50.815320633452856,73.79102325439453,0.0,113.989,114.778
371,2828,691290,0,1692.6133279891926,50.84045510370486,73.1680679321289,0.0,114.778,114.396
372,2791,694083,0,1679.6975928655738,51.182817074341585,73.59522247314453,0.0,114.396,113.534
373,2843,696928,0,1682.2759918753945,50.57148012953636,73.4620132446289,0.0,115.338,113.534
374,2798,699728,0,1682.5982056596768,51.150653580675474,73.84606170654297,0.0,115.338,113.678
375,2829,702559,0,1692.3868510118068,50.830984061499805,73.62320709228516,0.0,113.678,114.626
376,2811,705372,0,1689.7189320849093,51.16061589649667,73.88325500488281,0.0,114.626,114.37
377,2825,708199,0,1694.7568370616218,50.91404097728899,73.66964721679688,0.0,114.37,114.189
378,2801,711002,0,1685.767089875998,51.1756411494625,73.55252075195312,0.0,114.189,113.715
379,2798,713802,0,1677.04303592521,50.99732186742337,73.53325653076172,0.0,113.715,113.755
380,2811,716615,0,1682.5737258998074,50.93042330740965,73.6070785522461,0.0,113.755,114.17
381,2786,719403,0,1678.1584686083384,51.235043761966466,73.56793212890625,0.0,113.308,114.17
382,2815,722220,0,1692.6647350496796,51.054589988049166,73.64813995361328,0.0,113.308,114.053
383,2800,725022,0,1687.020005627718,51.116902353557606,73.70104217529297,0.0,114.053,113.695
384,2814,727838,0,1692.0806556372022,51.094284744909544,73.79946899414062,0.0,113.695,114.238
385,2812,730652,0,1695.385199939571,51.144092490052984,73.67955780029297,0.0,114.238,114.202
386,2817,733471,0,1694.40141594949,51.02804181764642,73.49139404296875,0.0,114.202,114.139
387,2816,736289,0,1686.0515092335036,50.84226190718784,73.34199523925781,0.0,114.139,114.035
388,2812,739103,0,1688.1434714919271,51.09517743235435,73.34407043457031,0.0,114.035,114.321
389,2819,741924,0,1694.7703695802659,51.002888031864565,73.03765106201172,0.0,114.281,114.321
390,2795,744721,0,1681.829250869842,51.13614351769373,73.7964096069336,0.0,114.281,113.583
391,2793,747516,0,1683.6329687695097,51.22931171302936,73.82826232910156,0.0,113.583,113.418
392,2820,750338,0,1694.6072088253763,50.98206996603015,73.75662231445312,0.0,113.418,114.336
393,2830,753170,0,1691.3531243930524,50.80207201335986,73.3527603149414,0.0,114.336,114.939
394,2810,755982,0,1693.0238010614946,51.170845672220004,73.51677703857422,0.0,114.939,114.164
395,2828,758812,0,1693.5786030970166,50.79407915270274,72.53459930419922,0.0,114.164,114.374
396,2820,761634,0,1692.467251168433,51.01803496481792,73.47803497314453,0.0,114.374,114.433
397,2796,764432,0,1680.7089668033532,51.115352892179814,73.4469985961914,0.0,113.545,114.433
398,2845,767279,0,1694.4712115868988,50.54305288890247,73.73311614990234,0.0,113.545,115.277
399,2829,770110,0,1695.97363868423,50.83720214035985,73.5499038696289,0.0,115.277,114.865
400,2808,772920,0,1684.9571857127253,51.12951996902875,73.6344985961914,0.0,114.865,114.355
401,2824,775746,0,1693.8317518207264,50.946601264203984,73.68260955810547,0.0,114.355,114.413
402,2828,778576,0,1693.9784678205006,50.84772657092313,73.62000274658203,0.0,114.413,114.496
403,2842,781420,0,1687.2329226942811,50.614565079013715,73.77494812011719,0.0,114.496,115.417
404,2819,784241,0,1693.8766342960062,50.984755189034175,73.7510986328125,0.0,115.417,114.107
405,2825,787068,0,1693.877213176605,50.88926308119513,73.69080352783203,0.0,114.6,114.107
406,2820,789890,0,1694.3625180084405,50.98027631945612,73.67162322998047,0.0,114.6,114.641
407,2818,792710,0,1696.0122098491954,51.00170200365026,73.0972900390625,0.0,114.641,114.01
408,2844,795556,0,1686.8736325404404,50.58629555223774,73.85535430908203,0.0,114.01,115.485
409,2816,798374,0,1693.4429025326974,51.019201757005,73.01961517333984,0.0,115.485,114.209
410,2815,801191,0,1688.9341279083303,51.04680135648079,73.68311309814453,0.0,114.209,114.321
